,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_hidden_layer_sizes,param_learning_rate,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
12,108.40284721056621,0.4339858690897624,0.8355339892629123,0.8365154682308451,tanh,"(24, 20, 16, 12)",constant,sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (24, 20, 16, 12), 'learning_rate': 'constant', 'solver': 'sgd'}",21,0.8648411401819024,0.8663261014014789,0.7883346947732898,0.7882127747771912,0.8534259936600829,0.8550075285138653,21.000149735460212,0.030292067150982416,0.03369872839106737,0.034466313691403114
18,75.66818873087566,0.2061316172281901,0.8324412853618789,0.8333393887611872,relu,"(10, 10, 10)",adaptive,sgd,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'adaptive', 'solver': 'sgd'}",22,0.8150130452805345,0.8167348406800738,0.8481486448592434,0.8465819729093769,0.8341623994147769,0.8367013526941107,18.764583896083998,0.04015225681740402,0.013582226074558217,0.012414774174159968
10,102.87397583325703,0.4848159948984782,0.8285886134851643,0.828163942724847,tanh,"(24, 20, 16)",adaptive,sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (24, 20, 16), 'learning_rate': 'adaptive', 'solver': 'sgd'}",23,0.8294603886762089,0.8297254954554044,0.8339693493129808,0.8335182453274161,0.8223360156059498,0.8212480873917205,12.86468664224256,0.12264323796099684,0.00478911344932319,0.005129524288499671
17,60.146251837412514,0.16791582107543945,0.8280765495015504,0.8289705922577671,relu,"(10, 10, 10)",constant,adam,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'constant', 'solver': 'adam'}",24,0.8098924678744727,0.8128028968367664,0.8422599090476829,0.8429914290242743,0.8320775420629115,0.8311174509122609,13.937631617482857,0.023684650608292175,0.013513453671051787,0.012417558011966494
8,69.93652772903442,0.35373767217000324,0.8276132535163759,0.8281780471519743,tanh,"(24, 20, 16)",constant,sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (24, 20, 16), 'learning_rate': 'constant', 'solver': 'sgd'}",25,0.7974811635902562,0.7995318243609829,0.8356762292583607,0.8351032052766975,0.8496830041453304,0.8498991118182427,10.2323749148422,0.10254512795825782,0.022060775486444376,0.021137396130079887
28,74.45802005132039,0.24371894200642905,0.8256381495795793,0.8260527692017439,relu,"(24, 20, 16, 12)",constant,sgd,"{'activation': 'relu', 'hidden_layer_sizes': (24, 20, 16, 12), 'learning_rate': 'constant', 'solver': 'sgd'}",26,0.8556241008509912,0.8561152394828122,0.8119018300191414,0.8110240060472318,0.8093879541575225,0.8110190620751876,10.095076026923165,0.02525349069122765,0.021228285713255236,0.021257376690783567
19,49.895351807276406,0.1728203296661377,0.8244433336178133,0.8240897934585586,relu,"(10, 10, 10)",adaptive,adam,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'adaptive', 'solver': 'adam'}",27,0.8323498573553437,0.8325540566077992,0.8207044537374575,0.8208568537325807,0.8202755425505974,0.8188584700352957,10.869690535560443,0.02323678040771265,0.005593549056154395,0.00604048548518464
6,134.42185846964517,0.3656027317047119,0.8235573816461638,0.8238378158042662,tanh,"(12, 16, 20, 24)",adaptive,sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (12, 16, 20, 24), 'learning_rate': 'adaptive', 'solver': 'sgd'}",28,0.8102216478505767,0.8124249425448516,0.8560734446056498,0.8556040526206703,0.8043769812240917,0.8034844522472766,32.112037119452495,0.025609058346401085,0.023115806926305646,0.022756734428840467
2,101.00774057706197,0.2653666337331136,0.8025505663183818,0.8024286430841739,tanh,"(10, 10, 10)",adaptive,sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'adaptive', 'solver': 'sgd'}",29,0.7913730462558826,0.7939966227955206,0.8196681337706198,0.817699125833628,0.7966105827846867,0.7955901806233732,34.138206491159714,0.0363983790437417,0.012291359670734962,0.010817442371426763
16,71.58475311597188,0.21411975224812826,0.7989132864347749,0.7997484543572906,relu,"(10, 10, 10)",constant,sgd,"{'activation': 'relu', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'constant', 'solver': 'sgd'}",30,0.7886908390431835,0.7897050127711974,0.8266419575474574,0.8276843735141001,0.7814069739088028,0.7818559767865743,9.454725974339325,0.05168518114320879,0.01983134008042955,0.020011888563615108
4,85.74106566111247,0.48151342074076336,0.7975802944774306,0.7987243005635184,tanh,"(12, 16, 20, 24)",constant,sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (12, 16, 20, 24), 'learning_rate': 'constant', 'solver': 'sgd'}",31,0.8004681670771256,0.8034942483891222,0.7837748869192036,0.7843235269016472,0.8084979273347964,0.8083551263997855,10.94865132068249,0.08065617580960151,0.010297612047883854,0.010374447625583656
0,50.24924604098002,0.3280191421508789,0.7788005510783824,0.7790057651668129,tanh,"(10, 10, 10)",constant,sgd,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'constant', 'solver': 'sgd'}",32,0.7659164614371754,0.7661560219701172,0.794491654576267,0.7958937345314004,0.7759936600829066,0.774967538998921,7.549797655792323,0.04101881121118385,0.011833442155422752,0.012471656934336096
